,Name,User_name,Date,Content,Comments,Forward,Like,language,Restaurant
10,"Dr. Perm Premia, ADhD",@PermPremia·2022年4月5日,2022-04-05,"You seem well-covered on the dinners so here’s a few casual (but fantastic) places to hit for lunch on a guys weekend in NYC:> Sottocasa Pizzeria (Harlem, BK) [best Neapolitan pizza in the city, IMO]> Backyard Barbeque (Red Hook)> Corner Bistro (W Vill) [burgers/McSorley’s]",2,,3,en,SottoCasa Pizzeria 
11,Nunzio Rispolano,@NunzioRispolano·2022年3月30日,2022-03-30,C’est partie…On est en jury.#forsenontorno #redline #parizza #pizza #sottocasa #sottocasapizzeria @ Parc Des Expositions (Paris Expo),,,,fr,SottoCasa Pizzeria 
12,Nunzio Rispolano,@NunzioRispolano·2022年3月23日,2022-03-23,"Poi mi spiegate come mai i 7 nani erano sempre contenti di lavorare mentre a me piovono mado##e#ilovenice #sottocasa #sottocasapizzeria #forsenontorno #redline @ Nice, France",,,,it,SottoCasa Pizzeria 
13,GothamToGo,@afinelyne·2022年2月9日,2022-02-09,Woooo ~ can't end this day without a nod #NationalPizzaDay !! at @SottocasaHarlem #HarlemSottocasa Pizzeria Harlem ~ Pick up or Deliver https://gothamtogo.com/portfolio/sottocasa-pizzeria-harlem/… via @AFineLyne,1,1,2,en,SottoCasa Pizzeria 
14,Omar,@Omaragost·2022年1月31日,2022-01-31,Che post del cazzo! Fai lo stesso esempio (acqua+Margherita) in una pizzeria “sottocasa”. Cazzo. Vuol dire far vedere lo scontrino de ristorante di un personaggio (cuoco) famoso?,,,,it,SottoCasa Pizzeria 
15,rosella,@rosellabarberio·2022年1月31日,2022-01-31,Poteva andare pizzeria sottocasa,,,,it,SottoCasa Pizzeria 
16,Massimo MAX POTEST (как минимум),@masafa75·2021年11月13日,2021-11-13,"Pizza....per  asporto, presa da una nuova pizzeria sottocasa...onestamente mi pare una mezza delusione",1,,,it,SottoCasa Pizzeria 
17,r.,@InAphysicalWay·2021年10月31日,2021-10-31,"cose che, ogni tanto, mi mancano di casa vecchia: essere nel mezzo del viavai di persone, i binari del tram dietro l'angolo, gli universitari della Statale nel palazzo, il pronto soccorso a portata di gambe e last but not least Il calzone alla scarola della pizzeria sottocasa",1,,,it,SottoCasa Pizzeria 
18,GothamToGo,@afinelyne·2021年10月9日,2021-10-09,It's #internationalbeerandpizzaday Oct 9th. Let's Celebrate! @SottocasaHarlemSottocasa Pizzeria Harlem ~ Pick up or Deliver https://gothamtogo.com/portfolio/sottocasa-pizzeria-harlem/… via @AFineLyne,1,,2,en,SottoCasa Pizzeria 
19,Francesco ,@Franciscktrue·2021年9月23日,2021-09-23,La pizzeria a taglio sottocasa apriva solo il pomeriggio adesso apre dalla prima mattina.,,,2,it,SottoCasa Pizzeria 
20,madda ,@drivingthunder_·2021年8月23日,2021-08-23,immagino che al cameriere della pizzeria sottocasa importi molto il galateo  mentre prende il decimo piatto,,,,it,SottoCasa Pizzeria 
21,AALDC,@AtlanticAveLDC·2021年8月6日,2021-08-06,"The moment when you're food arrives and you do a happy dance  | Sottocasa Boerum Hill, friendly service & delicious pizza #sottocasa #sottocasapizzeria #sottocasaboerumhill #pizza #woodfiredpizza #brooklynpizza #pizzalover #pizzatime #neapolitanpizza #salad #pizzeria",,,,en,SottoCasa Pizzeria 
22,Kvaratskhelia guidaci al socialismo,@Un_human_corpse·2021年7月26日,2021-07-26,"Ce chi lo fa? Io pensavo che il riscaldamento globale fosse colpa do ognuno di noi, in primis la pizzeria sottocasa? No seriamente fallo tu...",,,,it,SottoCasa Pizzeria 
23,MAR10 Sunshine,@mzgggg·2021年7月23日,2021-07-22,Pie time (@ Sottocasa Pizzeria - Harlem) on #Yelp https://yelp.com/biz/sottocasa-pizzeria-harlem-new-york?pt=check_in&ref=twitter&utm_campaign=CheckIn&utm_medium=twitter&utm_source=ishare&v=4b…,1,,1,it,SottoCasa Pizzeria 
24,Pietro Nardella-Dell'ova ישעיהו,@PietroDellova·2021年3月10日,2021-03-10,"Sottocasa Pizzeria Harlem, NY I recommend!",,,,it,SottoCasa Pizzeria 
25,Pietro Nardella-Dell'ova ישעיהו,@PietroDellova·2021年3月10日,2021-03-10,"Sottocasa Pizzeria Harlem, NYI recommend!",,,,it,SottoCasa Pizzeria 
26,Ju,@Yearning_Julia·2021年1月27日,2021-01-27,"quanto vorrei trovare la pizzeria sottocasa aperta e operativa ora però? tanto, esatto",,,10,it,SottoCasa Pizzeria 
27,AALDC,@AtlanticAveLDC·2021年1月21日,2021-01-21,Fresh. Delicious. Yours.  #SottocasaBoerumHillHave wood-fired pizza Mon-Fri 5-10pm and Sat-Sun from 12pm for pickup or delivery.#sottocasa #pizza #woodfired #pizzalovers #pickup #delivery #pepperoni #pizzeria #pizzatime #brooklyn #pulseofbrooklyn #atlanticavenue,,,1,en,SottoCasa Pizzeria 
28,AALDC,@AtlanticAveLDC·2020年11月30日,2020-11-30,A taste of Italy in #Brooklyn Hey #sottocasaboerumhill#sottocasa #pizza #brooklynpizza #pizzeria #brooklynpizzaria #pizzalovers #pepperonipizza #cheesepizza #pizzatime #boerumhill #cobblehill #atlanticavenue #pulseofbrooklyn #food #lunch,,,,en,SottoCasa Pizzeria 
29,Berto ,@BluDiChina·2020年11月19日,2020-11-19,"E costa puntualmente meno del negoziettosottocasa. 50 anni fa avevo sottocasa un negozio di tv in bianco e nero. Simpatico, un brav’uomo coi baffi. Dopo 50 anni è una pizzeria di qualità eccellente, i ragazzi sono volonterosi e simpatici. Panta rei.",1,,1,it,SottoCasa Pizzeria 
30,Edward Miskie (he/him/his),@EdwardMiskie·2020年10月24日,2020-10-24,BRUCE!  @ Sottocasa Pizzeria - Harlem https://instagram.com/p/CGtt4YfDQhN/?igshid=1sx04dr6aj2tv…,,,,it,SottoCasa Pizzeria 
31,luci560,@luci560·2020年10月7日,2020-10-07,"Ieri andando in farmacia, sono passata davanti alla pizzeria sottocasa, bene 5 dipendenti tutti sul marciapiede, tutti senza mascherina...ora io dico, come si fa ad andare in un locale dove NON esistono norme di sicurezza? Er non parlare degli avventori che da mesi, mai visti con",1,,1,it,SottoCasa Pizzeria 
32,Sottocasa Harlem Pizzeria,@SottocasaHarlem·2020年10月5日,2020-10-05,#pizza #pizzatime #pizzafriends #harlem #sottocasa #pizzeria https://instagram.com/p/CF-JEw3h4BC/?igshid=q291xovitmxz…,,,1,qme,SottoCasa Pizzeria 
33,hexastan,@hexastan·2020年9月11日,2020-09-11,Going to Sottocasa Pizzeria - Harlem,,,,en,SottoCasa Pizzeria 
34,Jonathan Sarmiento,@sarmientojp·2020年9月7日,2020-09-07,Enjoying the summer’s end with a tartufo at our favorite @SottocasaHarlem. @ Sottocasa Pizzeria - Harlem https://instagram.com/p/CE0ND9qFMwe/?igshid=1m992el210gzd…,,,,en,SottoCasa Pizzeria 
35,Sottocasa Harlem Pizzeria,@SottocasaHarlem·2020年9月6日,2020-09-06,Great people at Sottocasa pizzeria Harlem,,,3,en,SottoCasa Pizzeria 
36,Mimmo Testa,@mamilimax2264·2020年4月15日,2020-04-15,"De Luca continua a negarci persino la pizza consegnata a casa della pizzeria sottocasa , almeno beviamo alla sua salute",,,,it,SottoCasa Pizzeria 
37,GothamToGo,@afinelyne·2020年3月16日,2020-03-15,Sottocasa Pizzeria Harlem ~ They Deliver https://gothamtogo.com/portfolio/sottocasa-pizzeria-harlem/… via @AFineLyne,,,2,en,SottoCasa Pizzeria 
38,Nazzareno M. ,@NazzarenoMi·2020年3月11日,2020-03-11,"Esattamente cosa ha chiuso #Conte se Fabbriche ,Aziende e cantieri sono regolarmente aperti ?Ha chiuso il bar e la pizzeria sottocasa.Di questo passo quando il mondo avrà debellato il #Coronavirus noi saremo ancora qui a decidere se chiudere la gelateria oppure no Lkmm#Wuhan",,,,it,SottoCasa Pizzeria 
39,Sottocasa Harlem Pizzeria,@SottocasaHarlem·2020年2月14日,2020-02-14,#loveislove #loveiseverywhere #checkitout #harlem #sottocasa #pizzeria #real #italian #neapolitan #pizza #pizzalovers #set #up #cozy #place for #allofyou #fridaynight #happyvalentinesday #gf and #delivery are… https://instagram.com/p/B8j6yT7BPuR/?igshid=12xli1154qx11…,,,,en,SottoCasa Pizzeria 
40,Sottocasa Harlem Pizzeria,@SottocasaHarlem·2020年2月9日,2020-02-09,It’s #happening #today #harlem #pizza #will #be #always #here for #you #sottocasa #pizzeria #cozy #place #eat pizza #enjoylife #confort #food #incrustwetrust #eeeeats # @ Sottocasa Pizzeria - Harlem https://instagram.com/p/B8WnUmlBjMv/?igshid=1p4eos2h42hik…,,,,en,SottoCasa Pizzeria 
41,#zioobaffo,@zioobaffo1·2020年2月6日,2020-02-06,Prezzi di mercato. Pranzo della pizzeria sottocasa o cena da Vissani?,,,,it,SottoCasa Pizzeria 
42,Thiago Lins,@MrLins·2020年1月26日,2020-01-26,"I'm at Sottocasa Pizzeria - @sottocasanyc in Brooklyn, NY",,,1,en,SottoCasa Pizzeria 
43,Cent'anni di nerditudine,@nerditudine·2020年1月20日,2020-01-20,Ho la pizzeria da asporto sottocasa,,,,it,SottoCasa Pizzeria 
44,Sottocasa Harlem Pizzeria,@SottocasaHarlem·2020年1月6日,2020-01-06,All set #harlem everything #works #online #delivery #website #confort #private #quite #pizza #noproblem #easy #way #happynewyear @ Sottocasa Pizzeria - Harlem https://instagram.com/p/B6_puufhwCG/?igshid=1vfvkvx28n5lf…,,,,en,SottoCasa Pizzeria 
45,Sottocasa Harlem Pizzeria,@SottocasaHarlem·2020年1月5日,2020-01-04,Sorry about that but due technical problems delivery is only by phone . Thanks for your patience. Sottocasa Harlem @ Sottocasa Pizzeria - Harlem https://instagram.com/p/B66ogDshGim/?igshid=12bl339t3cag5…,,,,en,SottoCasa Pizzeria 
46,Seldom Seen,@HughX·2019年12月28日,2019-12-27,Pizza from @SottocasaHarlem #HarlemEats @ Sottocasa Pizzeria - Harlem https://instagram.com/p/B6mEcHalDK1/?igshid=18c1dfs0m8zuh…,,1,1,it,SottoCasa Pizzeria 
47,Seldom Seen,@HughX·2019年12月28日,2019-12-27,All the meats and cheese @SottocasaHarlem #HarlemEats @ Sottocasa Pizzeria - Harlem https://instagram.com/p/B6mB4qal9IT/?igshid=1gsry3py8hfco…,,1,1,en,SottoCasa Pizzeria 
48,Pãûl-Dévön,@Devon4Real·2019年12月18日,2019-12-18,"Talking #Arsenal #Arteta and #Pizza at @SottocasaHarlem with @notalexis, @troopzafc, @elohstackz and @chrispolanco @ Sottocasa Pizzeria - Harlem https://instagram.com/p/B6MaCEUJV3T/?igshid=8mqyysm6aznb…",,,,en,SottoCasa Pizzeria 
49,Pãûl-Dévön,@Devon4Real·2019年12月18日,2019-12-18,I’m like a kid on #christmas here at @SottocasaHarlem... Home of the best #Pizza I’ve EVER had. #foodporn #foodiesofinstagram #instagood @ Sottocasa Pizzeria - Harlem https://instagram.com/p/B6MWxzZJdP-/?igshid=a1sv6zsxemib…,,,,en,SottoCasa Pizzeria 
50,Pãûl-Dévön,@Devon4Real·2019年12月18日,2019-12-17,Literally the BEST #pizza in the world can be found at @SottocasaHarlem in #HARLEM #NYC... It has made all others inferior... #food #foodporn #nyceats @ Sottocasa Pizzeria - Harlem https://instagram.com/p/B6MR_ncJMK8/?igshid=1j6geva7pgf8p…,,,,en,SottoCasa Pizzeria 
51,𝒩𝑒𝓌𝒴𝑜𝓇𝓀𝑒𝓇X ,@newyorker9_28·2019年12月17日,2019-12-17,"Sottocasa Pizzeria227 Malcolm X Blvd, New York, NY 10027(646) 928-4870 https://g.co/kgs/VD492P",,,,en,SottoCasa Pizzeria 
52,Nataisiah Amina,@nataisiahamina·2019年12月8日,2019-12-08,Mama Mia iz pizza   @ Sottocasa Pizzeria - Harlem https://instagram.com/p/B501rkzAhoH/?igshid=pme3th1k1wh0…,,,,it,SottoCasa Pizzeria 
53,Sottocasa Harlem Pizzeria,@SottocasaHarlem·2019年11月30日,2019-11-30,#sunnyday #love to be #outside #ready #todo #tons of #pizza #neapolitan #way #real from #sottocasa #pizzeria #harlem #amazing #event #organized by #gustiamo #bronx #italian #company #support #friends and #good… https://instagram.com/p/B5fsLGvBYrq/?igshid=tc67ud42dsx6…,,,,en,SottoCasa Pizzeria 
54,Sottocasa Harlem Pizzeria,@SottocasaHarlem·2019年11月30日,2019-11-30,#sunnyday #love to be #outside #ready #todo #tons of #pizza #neapolitan #way #real from #sottocasa #pizzeria #harlem #amazing #event #organized by #gustiamo #bronx #italian #company #support #friends and #good… https://instagram.com/p/B5fsLGvBYrq/?igshid=1eyts4y4d6z1i…,,,,en,SottoCasa Pizzeria 
55,Sottocasa Harlem Pizzeria,@SottocasaHarlem·2019年11月30日,2019-11-30,#sunnyday #love to be #outside #ready #todo #tons of #pizza #neapolitan #way #real from #sottocasa #pizzeria #harlem #amazing #event #organized by #gustiamo #bronx #italian #company #support #friends and #good… https://instagram.com/p/B5fsLGvBYrq/?igshid=lui83opn8euv…,,,,en,SottoCasa Pizzeria 
56,Daniel Getting,@mnbluz·2019年11月26日,2019-11-26,"Great way to get started in NYC, great dinner with the family   @SottocasaHarlem @ Sottocasa Pizzeria - Harlem https://instagram.com/p/B5TskrvlVSt/?igshid=srol45000tj3…",,,,en,SottoCasa Pizzeria 
57,Sottocasa Harlem Pizzeria,@SottocasaHarlem·2019年11月21日,2019-11-21,DON’T #miss #it #tonight #pizza #pizzeria #harlem #free #event #amazing #voice #sing #opera #live #music #great #vibes #enjoy #life and #love the #neighborhood #checkitout @ Sottocasa Pizzeria - Harlem https://instagram.com/p/B5JSTVThRrK/?igshid=1n5vi0m5si6ty…,,,,en,SottoCasa Pizzeria 
58,Massimo Arrigoni,@massiarri·2019年11月20日,2019-11-20,"Awesome, you're going to love  Sottocasa Pizzeriahttps://yelp.to/qTKq/n9Bk2flUL1Laura & Luca @VivereNewYorkwonderful people + #EmailMarketing celebrities coming your way that you should meet",1,,2,en,SottoCasa Pizzeria 
59,Sottocasa Harlem Pizzeria,@SottocasaHarlem·2019年11月17日,2019-11-17,#dont #missthis #opera #night at #sottocasa #pizzeria #harlem #21th of #november #joinus for this #amazing #free #event #get #pizza for #dinner and #live #music #wine #beer #good #friends and #cozy #place #enjoy… https://instagram.com/p/B48kLj7BYKX/?igshid=dq0k5n6ecacf…,,,,en,SottoCasa Pizzeria 
60,Sottocasa Harlem Pizzeria,@SottocasaHarlem·2019年10月20日,2019-10-20,#halloween #season #scary #place #pumpkin #skeleton #pizza #harlem #choose #your #style #costume will be #prized #best #voted #31thofoctober #funny #night #treatortrick #candy #kids # @ Sottocasa Pizzeria - Harlem https://instagram.com/p/B32cOs0Bnud/?igshid=oxpo8ot5kt4w…,,,,it,SottoCasa Pizzeria 
61,LaSimo,@simona_777·2019年10月8日,2019-10-08,Il vero segreto per fare in casa una #pizza napoletana perfetta? Facilissimo! Comprate la pasta cresciuta nella pizzeria sottocasa! Il resto ce lo mettete voi. Risultato garantito!! #mimandaRai3,,,2,it,SottoCasa Pizzeria 
62,Johnny Ryan,@JohnnyRyanMusic·2019年9月12日,2019-09-12,Thank you Scott Sharrard for the killer writing session today and the dinner recommendation. PREGO!!! — eating dinner at Sottocasa Pizzeria - Harlem https://facebook.com/1393002807/posts/10220560258021760/…,,,,en,SottoCasa Pizzeria 
63,Claudio Napoli,@clanapis·2019年9月12日,2019-09-12,Pizzeria “Sottocasa”: un po’ di Napoli a New York http://napoliclick.it/portal/il-click/9055-pizzeria-…“sottocasa”-un-po’-di-napoli-a-new-york.html,1,1,3,it,SottoCasa Pizzeria 
64,Sottocasa Harlem Pizzeria,@SottocasaHarlem·2019年9月3日,2019-09-03,#fast #ready #how #many #pizza #pie #you #can #handle in the #wood #fire #oven ? #check this #out #neapolitan #fresh #tasty #foodporn #harlem #eeeats @ Sottocasa Pizzeria - Harlem https://instagram.com/p/B19vZluHrFt/?igshid=1lbv15rm1ieth…,,,,en,SottoCasa Pizzeria 
65,Reshard Cipriano,@CiprianoReshard·2019年8月16日,2019-08-16,"Lyft for free for New Users Only.  10 Lyfts! LyftOfferCode ZOOT    ~~ Sottocasa Pizzeria, Boerum Hill",,,,sv,SottoCasa Pizzeria 
66,The Classical Theatre of Harlem,@classicalharlem·2019年7月26日,2019-07-25,Dinner before the show? Here are CTH's Top Picks:Harlem Shake @harlemshakenycSottocasa Pizzeria @sottocasa_harlem Settepani @settepani_bakery THE BACCHAE ENDS ON SUNDAY!NOW - July 28 at 8:30 PM.FREEhttp://CTHNYC.ORG#CTHBacchae #CTHDionysus #UnitedHarlem2020,,2,7,en,SottoCasa Pizzeria 
67,Nate,@neighty7·2019年7月16日,2019-07-16,"Haven’t been there yet but the places on my list to eat at is Sottocasa pizzeria, Piccola Cucina, Boucherie West Village and Pure Thai cookhouse",1,,,en,SottoCasa Pizzeria 
68,BB Mirani,@bb_mirani·2019年7月13日,2019-07-13,Had to...... #yummy #pizza #tiramisu # delicious @ Sottocasa Pizzeria - Harlem https://instagram.com/p/Bz30BDwFquNjbXrawPNPMmPQNLqkL8TrQUPUyI0/?igshid=q7o5yszp4q9w…,,,,es,SottoCasa Pizzeria 
69,giorgio musso,@buch_1977·2019年5月26日,2019-05-26,"Russo ha le sue conoscenze dovute alla cultura fatta nel bar sottocasa ed alla pizzeria dove fa il cameriere, pensa siano campioni sufficienti per giudicare il mondo e la sua storia",,,1,it,SottoCasa Pizzeria 
70,Massimo Basile,@424BasilStreet·2019年4月15日,2019-04-15,Su Twitter tutti così furbi dal vedere complotti ovunque e poi vanno a mangiare nella pizzeria sottocasa gestita dalla ‘ndrangheta,,1,13,it,SottoCasa Pizzeria 
71,Mike,@mrowlinson·2019年4月14日,2019-04-14,"I'm at Sottocasa Pizzeria - @sottocasanyc in Brooklyn, NY https://swarmapp.com/c/8v4XXtGQeI8",,,,en,SottoCasa Pizzeria 
72,Becton Regional High School,@BectonHS·2019年3月13日,2019-03-13,Italian 2 students get a taste of authentic pizza from Napoli at Sottocasa Pizzeria in Brooklyn. Buon appetito!  #bectonsbest,1,3,5,it,SottoCasa Pizzeria 
73,Jon Emmet,@jonemmet·2019年3月11日,2019-03-11,Straight up some of the best pizza I have had in a long while. #sottocasa #sottocasapizzeria #food #foodporn #foodphotography @ Sottocasa Pizzeria - Harlem https://instagram.com/p/Bu31COHlSyV/?utm_source=ig_twitter_share&igshid=1f560teqg455j…,,,,en,SottoCasa Pizzeria 
74,Vera Causa Group,@VeraCausaGroup·2019年3月8日,2019-03-08,Yum! — eating pizza at Sottocasa Pizzeria - Boerum Hill https://facebook.com/1791028691224706/posts/2249231975404373/…,,,,in,SottoCasa Pizzeria 
75,Scarlet Ala ,@_Tsubasala_·2019年2月22日,2019-02-22,Oggi ho provato la pizza della pizzeria sottocasa gestita da alcuni miei conterranei ERA GIGANTE E BUONISSIMA,,,3,it,SottoCasa Pizzeria 
76,John Jay Schwartz,@1stUltimateRAM·2019年2月21日,2019-02-21,"Forno Rosso Pizzeria, Sottocasa Pizzeria, Juliana's Pizza all are great,,, try Russ and Daughters Deli at Brooklyn Navy Pier.",,,,en,SottoCasa Pizzeria 
77,Travel Market Report,@TravelMktReport·2019年2月14日,2019-02-14,Best #NewYork Pizzerias According to Reviews1. SottoCasa Pizzeria2. Song’ e Napule Pizzeria3. Juliana’s #Pizza4. Numero 28 Pizzeria5. San Matteo Pizza Espresso BarSource: @TripAdvisor,,,,it,SottoCasa Pizzeria 
78,laura schwamb,@schwambls·2019年2月8日,2019-02-07,Very inspiring dinner with a generous friend. #community #artandengineering #artandtechnology #interdisciplinary @ Sottocasa Pizzeria - Boerum Hill https://instagram.com/p/BtmZEsMFxjz/?utm_source=ig_twitter_share&igshid=1ao4tsfokqhri…,,,,en,SottoCasa Pizzeria 
79,Elia Palazzina,@Esquarep·2019年2月5日,2019-02-05,Molto bene! Io oggi questo...nel dubbio torna pure nella pizzeria sottocasa,1,,,it,SottoCasa Pizzeria 
80,Keith Gray-Dozal,@krgray1·2019年1月14日,2019-01-14,I checked in at Sottocasa Pizzeria - Harlem on #Yelp https://yelp.com/biz/sottocasa-pizzeria-harlem-new-york?pt=check_in&ref=twitter&utm_campaign=CheckIn&utm_medium=twitter&utm_source=ishare&v=4b…,,,1,en,SottoCasa Pizzeria 
81,Sottocasa Harlem Pizzeria,@SottocasaHarlem·2019年1月10日,2019-01-10,#jamieoliver #meet #sottocasa #pizzeria #harlem #businesscards #interesting #great #talk about #italian #food #newyork #pizza #neapolitan #style #grazie Jamie Oliver #pleasure #meeting… https://instagram.com/p/BseFPdmlbKf/?utm_source=ig_twitter_share&igshid=3xsaduo97hsf…,,,1,en,SottoCasa Pizzeria 
82,Diana Laskaris,@dlaskaris·2019年1月10日,2019-01-10,A1. Sottocasa Pizzeria in Brooklyn #foodtravelchat,1,1,3,it,SottoCasa Pizzeria 
83,Missy,@Missy13813·2019年1月1日,2018-12-31,"I'm at Sottocasa Pizzeria - @sottocasanyc in Brooklyn, NY https://swarmapp.com/c/jgO8pD4x3zY",,,,en,SottoCasa Pizzeria 
84,Sottocasa Harlem Pizzeria,@SottocasaHarlem·2018年12月22日,2018-12-22,#funny #people #crew #have #fun #noel #hollydays #pizza #harlem #community #santaclaus is comings to #town # # @ Sottocasa Pizzeria - Harlem,,,,en,SottoCasa Pizzeria 
85,Sottocasa Harlem Pizzeria,@SottocasaHarlem·2018年12月22日,2018-12-22,#thankyou #team #crew #harlem #grazie #mille #guys #all #this #would #not #possible #withoutyou #amazing #pizza and #wonderful #people at #sottocasa #pizzeria #happyholidays #everyone… https://instagram.com/p/BrtLjK0lP1S/?utm_source=ig_twitter_share&igshid=1rdrw0r5bmmls…,,,,en,SottoCasa Pizzeria 
86,o,@frxsh_o·2018年12月19日,2018-12-19,"Tacombi (tacos,exicam food) Los Tacos n.1 (haven’t tried it but heard it’s number 1 for tacos) ABC Cocina (tapas) Sottocasa Pizzeria (Italian pizza) Stone kitchen (Coffee shop in Brooklyn) Bare burger (good restaurant for burgers)",1,,1,en,SottoCasa Pizzeria 
87,Sottocasa Harlem Pizzeria,@SottocasaHarlem·2018年11月10日,2018-11-10,#nutellino #delicious #nutella #caffe #italiano #coffee #cream #panna #fresca #end #meal #foodporn #italian #way #winter #glutenfree #tasty #you #deserve #thebest # @ Sottocasa Pizzeria -… https://instagram.com/p/Bp-9yKKFgeL/?utm_source=ig_twitter_share&igshid=opk1z6l8z91i…,,,,it,SottoCasa Pizzeria 
88,Maynard Dean Wade,@MaynardDeanWade·2018年11月8日,2018-11-08,at Sottocasa Pizzeria - Harlem https://facebook.com/1306028728/posts/10217549987083969/…,,,,it,SottoCasa Pizzeria 
89,Sottocasa Harlem Pizzeria,@SottocasaHarlem·2018年10月31日,2018-10-31,#crew #life #halloween #thinking #about #you #blood #pizza #sottocasa #harlem #ready #for #trickortreat # # #scary #people #somuchfun # @ Sottocasa Pizzeria - Harlem,,,,it,SottoCasa Pizzeria 
90,Sottocasa Harlem Pizzeria,@SottocasaHarlem·2018年10月31日,2018-10-31,#ready #for #delivery #our #guy #waiting #for #you # # #web #phone #call #pizza #harlem @ Sottocasa Pizzeria - Harlem,,,,it,SottoCasa Pizzeria 
91,Sottocasa Harlem Pizzeria,@SottocasaHarlem·2018年10月25日,2018-10-25,#first #tasting #franciacorta #wine #metodo #champenoise #at #sottocasa #pizzeria #harlem #mirabella #winery #30th #of #october #dinner #7pm #pairing #foodporn #pizza #curedmeat #cheese…,,,,und,SottoCasa Pizzeria 
92,Sottocasa Harlem Pizzeria,@SottocasaHarlem·2018年10月17日,2018-10-16,#ready #halloween #time #somuchfun #pizza #wine #beer #scary #dark #side #night #soft #lights #trickortreat # # # #try #stay #away #from #this # @ Sottocasa Pizzeria - Harlem https://instagram.com/p/BpAwwf0hIG4/?utm_source=ig_twitter_share&igshid=kw4etpuulksa…,,,,it,SottoCasa Pizzeria 
93,Sottocasa Harlem Pizzeria,@SottocasaHarlem·2018年10月15日,2018-10-15,#party #time #bridalshower #harlem #nice #job #ladies #funny #joyful #happy #girl #thankful #pizza #cake #somuchfun # # @ Sottocasa Pizzeria - Harlem https://instagram.com/p/Bo9nLA6B2OK/?utm_source=ig_twitter_share&igshid=1iredudy8bnmr…,,,,it,SottoCasa Pizzeria 
94,Sottocasa Harlem Pizzeria,@SottocasaHarlem·2018年10月15日,2018-10-15,Just posted a photo @ Sottocasa Pizzeria - Harlem https://instagram.com/p/Bo9mdJdBOa3/?utm_source=ig_twitter_share&igshid=13qve04a0min0…,,,,en,SottoCasa Pizzeria 
95,Sottocasa Harlem Pizzeria,@SottocasaHarlem·2018年10月11日,2018-10-11,#done #different #pizza #for #different #people #all #together #for #good #purpose #goodforgood #sliceouthunger #pizzaparty #grazie #thankyou # @ Sottocasa Pizzeria - Harlem https://instagram.com/p/Boxm3JMhiTx/?utm_source=ig_twitter_share&igshid=1073rdumelerr…,,,,it,SottoCasa Pizzeria 
96,Yoshihiro Shimazu,@sitepunky·2018年10月11日,2018-10-11,"I'm at Sottocasa Pizzeria - @sottocasanyc in Brooklyn, NY https://swarmapp.com/c/a64t3ES7n2x",,,,en,SottoCasa Pizzeria 
