,opinions
37,"Did not get half of what was advertised, and food was terrible and extremely late. The whole package was bad really. We were sold a ticket with pre-show entertainment from 6:30pm. We sat in a corridor till 7:30pm whilst other people were taken into a room with a pre-show singer. The food was extremely late, cold, dry and had no flavour at all. The show was OK but had long periods with nothing going on so there was not really any atmosphere. The only good part was the strong man act. The singers had good voices as well. I do not think this is worth even half of what we paid. Overpriced throughout and underwhelming. I recommend avoiding completely."
38,"Some of the reviews on here, really put me off wanting to go to the London Cabaret Club the other week for a friends hen do but I am so pleased I went. What a great night out, the food was good, entertainment was great and mad, the staff could not have been more attentive if they tried and everyone had such a good time. Singing and dancing from beginning to the end - such a party atmosphere and great for a group of women celebrating a bride to be. I would definitely recommend this venue and would not hesitate to come again. Please don't be deterred by some of the reviews you read on here!"
39,"We had a party of 10 and all had pre order for drinks ,but on arrival we had to buy a drink as we couldnt have our pre ordered drinks until we sat down.(very expensive) the show was top dollar the singers were top class but our waiter for the night was so full of himself and a show off he wasnt concentrating on what he was doing during the ordering of our drinks so long story short he tryed to overcharge us £160 odd quid for drinks we didnt have as we all had pre order. we all stuck to what we orderd.we were detained after the event closed to sort this bill out we were getting surrounded by a lot of there staff which was a bit unnerving.we ended up paying half of what they were demanding we were going to get the police involved but it was getting late and the women were getting upset with what was happening.the manager was calm through the whole thing but our waiter was giving it because he messed up but wouldnt admit it,but apart from that the evening was great,,,but be carefull when it comes to the drinks.."
40,"I bought the Diamond package for myself, my mum and my sister, this was the first time we were together in 2.5yrs and we were very excited for the evening. The plus points were the service (apart from when ALL the servers had to dance around with sparklers because someone bought Dom Perignon), our server (I am so sorry we forgot your name but you were on table 1 on 1/04) was superb, she was absolutely lovely and as attentive as she could be with the tables she needed to cover. Drinks were served in a timely manner. The show itself, some parts were fabulous, others not so much but all in all, it kept us entertained.  I had bought the £125 tickets for us for the Diamond meal. We had to order in advance, which I had to do twice as I was told I hadn't done it the first time and on BOTH emails, I stated there should be no bell peppers in the Crab Salad (my mum hates them). Being cautious, I ordered the other available starter option and good job I did as there were finely chopped peppers throughout the Crab so we swapped. The canapes were 3 bits of goodness knows what and really not very nice and the bread on the table you could have cemented together to build a pretty sturdy structure, it was that hard. All the starters on the small side and mediocre, my sister opted for the veggie menu so between us, we tried every available dish. I had the lamb for main, it was hardly warm but overcooked, chewy and served with practically nothing but a smear of sweet potato or similar, my mum's fish was 'ok' and the cauliflower steak was a poor effort. Desert wasn't any better for me, my mousse was grainy, mum said her tart was ok and my sister said the torte was good but the champagne sorbet was a million miles away from that, I tasted it and can confirm.  So in short, the expectation paying £125 a ticket was great food and it was far from that. A private dining for 3 at The Ritz costs £120pp - granted we did have the show but also did pay over £250 on top for drinks and service, all in all the night cost around £600 for the 3 of us and it just wasn't worth it.  I wouldn't say don't go, far from it as it was a fun night but stick with the Silver Tapas tickets (although you will have to watch the performers backs in some parts for the first 2 parts as the 'stage' is directed towards diners) or maybe Gold at a push. The mark up on the alcohol is high enough (a £13 bottle of wine for £50+) too, I appreciate it is a big undertaking, a lot of staff to pay but don't promise a Diamond experience and deliver something lacklustre.  To note - I didn't complain about the food on the night, it is a mass catering event so everything is pre-made and the servers had enough to do. This is down to the kitchen and management for allowing the sub-standard catering."
41,"Lovely show, fantastic staff, wonnderful three course meal, and the Brazilian singer is an amazing person"
42,"Recently visited,was looking forward to visit this place,but didn't met our expectations at all. Food was terrible!!!! And I'm not pitty ,but for 95£(plus 15%service charge on top) gold package per person was shocking. Drink prices oh dear dear! !! Staff was nice and friendly,but to serve ice cubes into glass from the bucket where was prosseco and other drinks , sorry but really????!!!! Entertainment - I felt I'm in Butlins....not even close to cabaret ... Decor old style,outdated. I would never recommend to go there for price you have to pay and what you will get. Disappointed all I can say."
43,"On the whole, it was a fun evening out. The food was lovely and the actual entertainment was great. What let it down was the service. We had to repeatedly ask for things and even then things we asked for didn’t turn up (prosecco glasses and water) whilst the waiter stood at the back just watching the entertainment. What was most disappointing we paid for a special dessert for a friends 40th, by the time they brought it over the sparkler had long gone out, so that was a waste of money. Thought the DJ music wasn’t fitting to the audience (very much RnB when it was pop fans attending) so we left after just a few songs."
44,"This was the most memorable experience for my 50th birthday celebration visiting from the USA. We booked the experience that included the reception which were drinks and light hors d’oeuvres listening to live music which was the kick off for the full presentation that went on during dinner. It’s definitely a special evening 5star service from the dinner, the staff , the presentation , the performances all TOP NOTCH!!! I loved every minute of it."
45,Took some clients and colleagues on a work night out the The London Cabaret Club. What an absolutely amazing evening from start too finish. We will definitely be back!
46,"Firstly I have never given a 1 star review on TA before so read this with that in mind. We arrived at 6pm for the pre-show advertised on the web page but we’re told our £103 tickets didn’t include this. We were seated on 3 small tables in a corridor off the main bar - we were not allowed to sit or stand in the bar because this is for VIPs! The corridor is the route to the cloakroom so obviously people were passing continuously while we drank our £16-£18 drinks. We were seated at 7.30/45. A plate of 1 piece of bread with 2 smaller bits was on each table. I have never seen such tightness! After starters, the main meal was served circa 9.30pm (a Guinea fowl and a smear of something unknown- you don’t come here for the food and shouldn’t). The waiters served the table to our left and then walked past us to table to our right. The reason- they were there before us. That’s despite us arriving at 6pm. Every part of the evening was controlled and regimented. The show is good but seriously for over £200 per head once you include drinks there must be a better cabaret option than this one! I would never waste my money here again. The only positive was the nice waiter who looked after us. LCC your approach is disgusting and London deserves better."
47,"The best evening in such a long time. Awesome dancing and singing. The service was amazing and the table service from our Brazilian maestro/dancer was top draw. Good bloke, genuine and always prepared to go the extra mile."
48,"We attended the penultimate night of the Great Gatsby themed event and to say it was spectacular and out of this world would be an understatement. Not only were the dancers, singers and performers faultless, the whole experience was one that whisked your night back into the roaring 20s. An absolutely must see and would highly recommend to one and all. Great work from the producers and keep up the fantastic work."
49,"Terrible event, rammed in like sardines, lunch cold, bottomless drinks ?? i would question that! if you can get them to serve you. Spend your money on a show and drinks instead. Its a money making scam for tourists. 3 drinks £47 and a bottle of prossecco £50."
50,Been here a few times now as I love show and dinner experiences and this one never disappoints. Food is always great and the shows are fun. My favourite show is the Gatsby one!
51,"Fantastic afternoon celebrating my 50th with my sisters. Singers, dancers were amazing. Everyone got up to dance and sing. Atmosphere brilliant. Special thank you to Gillian at West End Musical Brunch and James at Sway making it even more special with Moet and care and attention xx"
52,"The food was lovely, the drinks were yummy but most importantly the atmosphere was electric! Loved the dancers and the acts and would highly recommend to anyone wanting a fun night out."
53,"Gatsby Christmas - we attended Fri 3rd Dec on drinks-only tickets. We were disappointed that our table wasn’t ready when we arrived and the staff seemed confused and cobbled something together - 4 people paying £75 each crowded around a poseur table designed for two people at best. The drinks service was fine and attentive. There were some good acts and performers but the show was disjointed and had no flow at all. Poorly planned. Compared to other similar events I’ve been to before, this felt a bit of a let down."
54,"It started of as an occasiin for my partners birthday, then he proposed. Beautiful place & entertainment was amaxing. A nice occasion to get dressed in your best dress. However, as it was my partners birthday I asked for it too be announced, cost £50 for that, total disgrace as already had paid £336 for tickets & 1 bottle of wine. Definitely should be complimentary for birthday announcements etc. Our engagement was not even acknowledged. The staff are all amazing, so professional & helpful. Would highly recommend."
55,"A great evening of entertainment. The performers were talented, particularly Hannah who has an incredible voice. The only thing I'd improve is the food, which was mediocre."
56,"Due to last year's lockdown, we had to rebook our 'London Never Dies' night. Rebooking was easy and we received a confirmation email last month. Although it referred to a menu selection and pre-ordering drinks, we had no further communication from the club until the evening before the performance. After a couple of calls and emails, our menu choice and drinks package was booked and paid for, but it was all very last minute. The performances were all good, with some exceptional singing and a couple of stand-out BGT-type performances. In between the acts, the DJ played plenty of dance music which got people in the mood for when the tables were cleared away towards midnight. Still not entirely sure about the 'act' with one of the singers and a dog....either way, I don't think it went as planned. Our 'Gold package' gave us a choice of meat, vegetarian or vegan options, but with only one choice of starter, main and dessert - but you could mix and match if you wanted a vegetarian starter and a meat main course. Although the entertainment started around 7:45pm, the starters did not come out for over an hour and we received our main course around 10:30pm - even though some tables around us had the mains already cleared away. Maybe understandable, given they are catering at a grand-scale. The other issue is that a number of the waiting staff do not have English as their first language - no problem with that, but my wife asked one member of staff where the toilets were, but she said she did not understand the question. So we had to ask another member of staff who was able to oblige with the necessary directions. As you would expect, the drinks are not cheap, and the cocktails in particular are rather expensive, so if you've not got work the next day, the bar bill might mean you putting in a few hours of overtime. So overall, a good experience, but we're in no hurry to go again.."
57,"I wouldn’t call this a cabaret club, the performance was quite disappointing and resembled a school talent show more than anything. There were a few good acts that saved the night but apart from that it was quite disappointing. A lot of long breaks between the acts too, which made the whole thing rather disjointed. I would not pay full price for this, there are a lot of other better cabaret clubs in London."
58,"I bought 2 silver booth tickets to see the El Dia Of The Dead on Friday 29th October for my hubby's bday. When we arrived at the entrance desk and showed our tickets, there was initially a problem with our table - we were supposed to have table 14 but were then switched to table 31, have no idea why! We were asked to sit down and wait while they sorted this out. Then, once the issue was sorted and we arrived at our table, it took 1 HOUR before we even had a drink! We had no idea who was supposed to be serving us as no one came up to us for a long time. I then just said I would just go up to the bar to order us a drink and was stood there for ages with none of the bar staff even looking at me. It wasn't until I asked if I could order there until I was told that there should be table service and they would send someone over. Finally, a lady came up to us and asked what we would like and noticed we didn't have a drinks menu, so she disappeared off for at least another 20 minutes until she came back with a menu.  We ordered a bottle of (very expensive!) Wine, which was delivered to our table by someone else and just left in the bucket. It hadn't been opened (it had a cork) and we didn't have glasses. We were sat waiting for a long time yet again for our waitress to come over and open the bottle for us! The wine itself was definitely not worth the extortionate price we paid for it either, very sub par.  Everywhere just seemed chaotic and unorganised and we felt forgotten about. The show itself was ok but there was a long wait in between performances, probably to get you to buy more ridiculously priced drinks! They also take away your card at the point of ordering and you only see it again when you leave! I did not feel that this experience deserved a tip so I didn't bother. We left before the performance finished.  We definitely won't be back sadly and was not worth the price we paid! A shame to have experienced this for my Husband's birthday."
59,"Rude bar staff, mediocre entertainment & expensive drinks which are sub par. The Halloween 'after party' was poor, the bar area was drab and dingy and the music was only playing in the main ballroom and only filtered through to the bar through an open door. The event was also promoted at 10:30-3 but we were asked to leave the ballroom at around 2 and music switched off at 3"
60,"The basic package prices are good value for money for a fun night out. You get little more for the more expensive packages and you are treated no differantly. The entertainment is nothing special but the singers are superb. I got the impression, that having listened to Bond music all night on a halloween themed evening, that its just the music from London never dies replayed in halloween costumes. The whole night revolves around alcohol induced excitement so you are guarenteed a loud fun atmosphere. The entertainment is predominantly diversity in later years not a lot of variety. The food was good but a little on the cold side and took forever to be served. The drinks are not cheap so be prepared for an expensive night."
61,"My wife and I had a wonderful time at The London Cabaret Club celebrating our first wedding anniversary. All the staff took excellent care of us; the performers were incredibly talented; the food was delicious (although different from the menu we'd been sent); and the environment was beautiful. One thing that was disappointing was the lack of diversity in the performers- they were all white. Most of the serving staff who were out all the time were white too, with black waiters coming just to deliver food. We felt uncomfortable about the clear race divide in the club and would be interested in reading their diversity and inclusion policy to see what they are doing about this."
62,"It’s an evening full of entertainment, it definitely doesn’t disappoint. The food was good but at least one choice on starter main and pudding would make it great drinks are expensive which overall is to be expected, however the near 15% charge they put on top is very over the top. Bordering on rude…."
63,"I was celebrating my 60th birthday with a friend and we both thoroughly enjoyed the whole experience from start to finish. The performers were polished and very talented, the venue was impressive, all the staff were professional and friendly, the food was great and the DJ certainly had everyone up dancing. We will both definitely be coming back!"
64,Amazing experience! The performances were really good and to a high standard. it is 100% worth the money
65,"I had a very special occasion that was tripled pleasure because of all the support i got from the team , specially Ms Izzy during my reservation and follow up, my partner was crying from happiness and joy, the program was amazing , the night was long enough till 3 am to be part of our happiest memories"
66,"Enjoyed the night, the food was great and the show was amazing. Would highly recommend and would definitely go again."
67,"Purchased the gold tickets for a Saturday night, the entertainment was ok but the food was really awful and the whole thing seemed well overpriced. We were sat at the back and none of the wait staff seemed able to locate our table so kept delivering our drinks and food to other tables, at one point our main courses were left sitting at an empty table for 20 mins and then delivered to us cold, we didn’t bother eating it was that bad! The show was fairly good with some impressive acts but almost as entertaining was the shockingly bad service! We wont be returning unfortunately :("
68,"Amazing night, great performance and music. Great service as well Adrien our waiter was extremely helpful:)."
69,"Show - 5/5. Great singing and dancing.  Seating in theatre - 5/5. Great view of show in VIP seats.  Pre drinks - 1/5. Although we’d pre ordered drinks, these were not offered in pre bar. Therefore, we ordered extra drinks which were very expensive (even for London).  Drinks package - 2/5. Limited beer choice. Expensive. All lager opened as soon as we arrived at table and went flat.  Food - 1/5. Did not consider allergies, albeit pre advised. Cold when served. Canopy - awful. Duck - cold and tough. Fondant - sad.  Service - 1/5. Rushed. Impersonal. Did not consider pre orders or allergies. Did not bring back credit card after 3 requests. Had to go to bar to retrieve.  Overall - not a VIP service. Only saviour for the evening was the entertainment and seating (which I accept are key). Other than that: food awful; drinks overpriced and service poor."
70,"If you are looking to see London in all its glory, please go see a show at the London Cabaret. We had the best seats in the house and the experience was second to non. Geric our waiter made the experience even better by being so good at his job and for our second wedding anniversary we couldn't have asked for a better night.  Food was amazing, drinks were amazing, service was amazing, please if you can, book a ticket to go here.  You will not regret it."
71,"Adrienne was amazing, so Friendly and helpful on our first experience here. I came to celebrate my birthday and had An lovely time. Thoroughly spoilt. Adrienne and Jonathan looked after myself and my husband brilliantly Thank you xxx"
72,This was my fourth visit to the Cabaret Club - each for a special occasion. There was a brilliant party atmosphere - the performances in the cabaret were top-notch (West End show standard) and the food was delicious. All in a stunning art deco ballroom. I live in London am delighted to have found the London Cabaret Club.
73,"Pros: It is a nice evening and wonderful change from the normal nights out in London. The artists are extremely talented and there is a wide selection of performances from dancing to acrobatics. Very entertaining! The food is good. A nice selection on the menu and the drinks are very good (cocktails and quality of wine). The service is a little rushed but nothing too offensive at all. Cons: The only downside for us is that we originally booked Gold tickets, stage side. As the menu was less impressive (chicken), we upgraded to the diamond package. We asked that it was stage side and were told the diamond seats were the best but when we arrived, we were walked to the back of the hall on a raise platform. Our seats were at the back on the side sitting next to each other which meant we had to turn 90 degrees to view the entire show whilst blocking each other and eating on a circular tables. It is as awkward as it sounds.  My best advice is to stay stage side where all the action happens and you feel part of the show. Or maybe to ask for a seating plan ahead of time and base your ticket selection on that.  That aside, it is a great night made special by the performers and the general ambience."
74,"Absolutely fantastic, 17th september show, service was 10/10 performances INCREDIBLE. we finished this night and called some friends to tell them we need to rebook. see you in december!"
75,"Lovely venue, good food, attentive staff and first class entertainment ... all the ingredients for an excellent night out which my wife and I certainly had. Will be visiting again as soon as time allows."
76,"Great evening and enjoyed the dinner, very polite and helpful staff . Would definitely have a return visit"
77,"Good experience but not 100% satisfied. Long gaps between performers. Many staff around but still couldn’t get best table service. Our bottle of wine was left on our table without opening. Twice asked for cutlery, because twice our meal was served just on a plate without the cutlery. A lot of confusion about menu. The show was great but in 2 hours only 30 minutes were the real performers , the rest of the time was DJ’ music."
78,"My boyfriend planned a Saturday evening as part of my birthday surprise last weekend. There was a bond themed cabaret night. The acts were great to watch, however they were quite short and there was very large gaps. The drinks menu was diverse but very pricey with cocktails priced at around £16 each. I would recommend definitely trying this place once"
79,We attended the Carnival evening - the entertainment was pretty good but lots and lots of padding took place and seemed to be a mix of everything thrown together We pre ordered drinks expecting them to be on the table in an ice bucket but no it took about an hour to finally get them Lots of confusion over our food also - there were lots of staff but no one seemed to be able to resolve anything Perhaps the organisers should visit Benidorm palace to see how this night should and could be
80,My husband and I were visiting London for our wedding anniversary and decided to book something different that we haven’t experienced before in London and this did not disappoint! The staff were attentive and our waiter Johnathan was a pleasure to be around very polite and a great conversationalist which made our night too. The food was amazing and well presented and the most important part was the very talented entertainment we received throughout the whole night. It was spectacular and exciting and we would definitely return to experience another evening like this at the London cabaret club.
81,"We enjoyed the night. Initially concerned about the ticket price but given that we were in a well spaced venue we believe we had value for money. It was very noticeable that many tables, including ours were restricting their drink purchases because of the the extortionate prices. I became increasingly agitated by the inhouse photographer constantly walking in front of us and on more than one occasion told him to move. I paid to see a show not the back of the head of your publicity staff. The night was themed as Carnival but other totally unrelated acts were put into the show to pad out the event. They were good but left us confused as to why they were included as they bore to relationship to carnival. Having seen the Rio Carnival in 2020 we can definately say the Brazilian part of the night was very authentic The evening was disjointed with long gaps between each set of entertainment, these gaps were filled with some guy with angel wings banging a drum which after the first circuit became annoying rather than entertaining. The food was spread over 2 hours which for a meal was well dragged out, the dishes were surprisingly tasty but served tepid. Best advice is to eat before the show, drink well before the show, buy the drinks only ticket and just buy a beer for the duration"
82,"Booked the Cabaret for the James Bond show! My partner and I were greeted by the young ladies at the front desk, both were very polite and helpful throughout the night, catered to both me and my wife with amazing service. Unfortunately, I was a witness to poor management half way through my night, from what I could see the manager kept raising his voice to employees. I was also waiting for quite a while to speak with the young lady from the desk, but could see she was caught up with the manager who seemed to be acting quite inappropriate and unprofessional. All in all the show and performers were amazing… however service and management were below the standards of what I was expecting."
83,"An absolutely amazing evening, filled with spectacular talent and superb cuisine, surrounded in great company of friends! The hosts were so attentive, it truly felt so wonderful to enjoy being wined and dined all over again- we didn't want this evening to end! There is honestly not a bad seat in the house. Thanks to all at The London Cabaret Club: 100% 5*"
84,I took my mum to London Cabaret club for her birthday and I wasn't sure what to expect because I hadn't really heard anything good or bad about it. It was fantastic. The food and entertainment were spot on. It was a great evening
85,The service was quite poor and somewhat rude. We were put sitting in an empty area where we couldn't experience any of the entertainment until we asked to be moved. We were moved eventually but felt like half the night was wasted.
