,Name,User_name,Date,Content,Comments,Forward,Like,language,Restaurant
32,Brando,@accessBrando·2016年6月12日,2016-06-12,"#Brasil (@ Ipanema Restaurant in New York, NY) https://swarmapp.com/c/an80v01RrdW",,,,cs,Ipanema Restaurant New York
33,"Riyaz Manjiyani, PT, DPT",@RiyazManjiyani·2016年5月29日,2016-05-28,"Engagement dinner (@ Ipanema Restaurant in New York, NY) https://swarmapp.com/c/bfp2zY7UVWU",,,,en,Ipanema Restaurant New York
34,Mario Abarca Cervera,@mario_abarcac·2016年5月19日,2016-05-19,"I'm at Ipanema Restaurant in New York, NY https://swarmapp.com/c/ai74kIcIdyU",,,,en,Ipanema Restaurant New York
35,Panmela Castro,@panmelacastro·2016年3月25日,2016-03-25,"I'm at Ipanema Restaurant in New York, NY https://swarmapp.com/c/iYxb8P4CgCj",,,,en,Ipanema Restaurant New York
36,Tara Diana,@taradiana·2016年3月9日,2016-03-09,"I'm at Ipanema Restaurant in New York, NY https://swarmapp.com/c/1EeBqC36d9f",,,,en,Ipanema Restaurant New York
37,Chef Joao Encarnacao,@JoaoEncarnacao·2016年3月3日,2016-03-03,Chef Tiago Pina is rocking at Ipanema restaurant in New York City. Hug Chef. http://fb.me/23kk8k5nc,,,,en,Ipanema Restaurant New York
38,dgurl,@dgurl·2016年1月29日,2016-01-29,"Fam Dinner (@ Ipanema Restaurant in New York, NY)",,,,en,Ipanema Restaurant New York
39,carriegirl,@carriegirl·2016年1月4日,2016-01-04,"I'm at Ipanema Restaurant in New York, NY https://swarmapp.com/c/cCuu6jCd1JF",,,1,en,Ipanema Restaurant New York
40,vukimake,@vukimake·2015年12月27日,2015-12-27,"http://expresspurchase.link/restaurants-ipanema-restaurant-13-west-46th-street-new-york-new-york-new-york/… - Restaurants, Ipanema Restaurant, 13 West 46th street, New York, New York, New York",,,,en,Ipanema Restaurant New York
41,Daisy Magaña ,@Dazy_Daze·2015年11月4日,2015-11-04,"I'm at Ipanema Restaurant in New York, NY https://swarmapp.com/c/eOzJ4Mnf4ZY",,,,en,Ipanema Restaurant New York
42,RayYin,@RayYin1031·2015年10月25日,2015-10-25,"I'm at Ipanema Restaurant in New York, NY https://swarmapp.com/c/0guuFNy7E43",,,,en,Ipanema Restaurant New York
43,The Call: Where Hip Hop Speaks,@TheCallHipHop·2015年10月24日,2015-10-24,Noah H.'s Review of Ipanema Restaurant - New York (5/5) on Yelp: What an absolutely fantastic experie... http://tinyurl.com/q95cuj4 #YelpNYC,,,,en,Ipanema Restaurant New York
44,Ewan Leckie,@EwanLeckie·2015年10月22日,2015-10-22,New brand launch from @WeAreMyCreative for New York Restaurant Ipanema http://thisismycreative.com/work/branding-identity/Ipanema.html… more images to come!,,,,en,Ipanema Restaurant New York
45,The Call: Where Hip Hop Speaks,@TheCallHipHop·2015年10月22日,2015-10-21,Alex H.'s Review of Ipanema Restaurant - New York (5/5) on Yelp: Staff was kind and friendly. Food wa... http://tinyurl.com/norwxbk #YelpNYC,,,,en,Ipanema Restaurant New York
46,Liz Thomas Corona,@lizthomascorona·2015年10月10日,2015-10-10,#fbf #flashbackfriday #friends #farewell #timessquare #newyork #ipanema #restaurant #brazilian… https://instagram.com/p/8pDO98iJOB/,,,1,und,Ipanema Restaurant New York
47,Pierre-Richard Vivy,@pvivy·2015年10月9日,2015-10-08,"Diner time!!! (@ Ipanema Restaurant in New York, NY w/ @509triathlete) https://swarmapp.com/c/6iI41Y9ONpH",,,,en,Ipanema Restaurant New York
48,Shanna Cohen,@ShannaCarly·2015年9月12日,2015-09-12,"I'm at Ipanema Restaurant in New York, NY https://swarmapp.com/c/96sfvC17rP0",,,,en,Ipanema Restaurant New York
49,Dan Grimm,@dangrimm·2015年9月5日,2015-09-05,"I'm at Ipanema Restaurant in New York, NY https://swarmapp.com/c/7AkOxwz3cik",,,,en,Ipanema Restaurant New York
50,The Call: Where Hip Hop Speaks,@TheCallHipHop·2015年9月3日,2015-09-03,Danielle P.'s Review of Ipanema Restaurant - New York (5/5) on Yelp: I was working with their Sales p... http://tinyurl.com/nkyvnkr #YelpNYC,,,,en,Ipanema Restaurant New York
51,The Call: Where Hip Hop Speaks,@TheCallHipHop·2015年9月3日,2015-09-03,Elena S.'s Review of Ipanema Restaurant - New York (4/5) on Yelp: It's been a while since I've had th... http://tinyurl.com/o6p3tsu #YelpNYC,,,,en,Ipanema Restaurant New York
52,Petri Sintonen,@psintone·2015年8月15日,2015-08-15,"Brazilian dinner #xingu #kalia (@ Ipanema Restaurant in New York, NY) https://swarmapp.com/c/kuioMNIVE2z",,,,en,Ipanema Restaurant New York
53,friedchiknskin.eth,@friedchiknskin·2015年8月12日,2015-08-12,"Lunch with @robdeezy and Mom (@ Ipanema Restaurant in New York, NY) https://swarmapp.com/c/4uKXOZv5FeT",,,,en,Ipanema Restaurant New York
54,DineHere.us,@dine_here·2015年7月29日,2015-07-29,"Ipanema Restaurant. 13 W 46th St, New York, NY #Restaurant http://fb.me/50EeceqZv",,,,en,Ipanema Restaurant New York
55,Jobs in New York,@JobinNewYork·2015年7月23日,2015-07-22,#Job #NewYork Experienced Host / Hostess (Midtown West): Ipanema is a Brazilian/Portuguese restaurant in Midto... http://tinyurl.com/p3l2248,,,,en,Ipanema Restaurant New York
56,The Call: Where Hip Hop Speaks,@TheCallHipHop·2015年7月11日,2015-07-11,"Brett M.'s Review of Ipanema Restaurant - New York (5/5) on Yelp: Ipanema is very laid back, dress co... http://tinyurl.com/psydd89 #YelpNYC",,,,en,Ipanema Restaurant New York
57,GollyMissMolly,@MollyMcGoey·2015年4月26日,2015-04-26,"I'm at Ipanema Restaurant in New York, NY https://swarmapp.com/c/3NDwbEtQPuH",,,,en,Ipanema Restaurant New York
58,RichardLGant,@RichardLGant·2015年4月17日,2015-04-17,"Almoço. (@ Ipanema Restaurant in New York, NY) https://swarmapp.com/c/8ao1cFDQIXd",,,,pt,Ipanema Restaurant New York
59,Tank,@Amerikanske·2015年4月11日,2015-04-10,"Noms (@ Ipanema Restaurant in New York, NY) https://swarmapp.com/c/1fL1NGMpSkR",,,,ca,Ipanema Restaurant New York
60,Patt,@pattmab·2015年4月10日,2015-04-10,"I'm at Ipanema Restaurant in New York, NY https://swarmapp.com/c/3hxtbCTcEQB",,,1,en,Ipanema Restaurant New York
61,idee ,@isdscuba·2015年3月8日,2015-03-08,"#omnomnom (@ Ipanema Restaurant in New York, NY) https://swarmapp.com/c/8U0rUyimJHZ",,,,cs,Ipanema Restaurant New York
62,Anri Seki,@asSharp·2015年2月21日,2015-02-21,"I'm at Ipanema Restaurant in New York, NY https://swarmapp.com/c/38PHdSeMRCW",,,1,en,Ipanema Restaurant New York
63,Brandon Hensinger - Cima Growth Solutions,@BHensinger·2015年1月10日,2015-01-10,"Que bom. Eu gostei desta restaurante! É como estar no Brasil. (@ Ipanema Restaurant in New York, NY) https://swarmapp.com/c/41TakW10hSy",,,,pt,Ipanema Restaurant New York
64,Vinicius Nascimento,@viniciusnitt·2015年1月7日,2015-01-07,"I'm at Ipanema Restaurant in New York, NY https://swarmapp.com/c/e1odMpL0zUt",,,,en,Ipanema Restaurant New York
65,Greg Zimerman,@gregzimerman·2014年11月30日,2014-11-29,"I'm at Ipanema Restaurant in New York, NY https://swarmapp.com/c/cf8rb3TpUKg",,,,en,Ipanema Restaurant New York
66,Cathy Morgan,@ironclm·2014年11月16日,2014-11-16,"Dinner w/German (@ Ipanema Restaurant in New York, NY) https://swarmapp.com/c/lWN69mKEeP6",,,,en,Ipanema Restaurant New York
67,PraDo,@casaleprado·2014年10月2日,2014-10-02,"Lunch time! (@ Ipanema Restaurant in New York, NY) https://swarmapp.com/c/1LlEgXeINFL",,,,en,Ipanema Restaurant New York
68,Gabriel Hayes,@glmh101·2014年10月2日,2014-10-01,"With @ericafaytay9012 (@ Ipanema Restaurant in New York, NY) https://swarmapp.com/c/aoB5IjJPyvh",,,,en,Ipanema Restaurant New York
69,The Call: Where Hip Hop Speaks,@TheCallHipHop·2014年9月30日,2014-09-30,"Michelle A.'s Review of Ipanema Restaurant - New York (5/5) on Yelp: Awesome place, amazing service, ... http://bit.ly/1CCnJbQ #YelpNYC",,,,en,Ipanema Restaurant New York
70,ivyfaye,@eyevfaye·2014年9月24日,2014-09-24,"I'm at Ipanema Restaurant in New York, NY https://swarmapp.com/eyevfaye/checkin/5422098a498e02f9bfdfdd13?s=ZGDIEFNdEe9U9mOLesCx4cXTXIE&ref=tw…",,,,en,Ipanema Restaurant New York
71,elisforgerini ,@elisforgerini·2014年9月16日,2014-09-16,"Comida de verdadeeeee! Finally \o/ (@ Ipanema Restaurant in New York, NY) https://swarmapp.com/elisforgerini/checkin/54188073498e105217a07075?s=Tjap0_Jj4HskrYZGKLAynrXUddY&ref=tw…",,,,pt,Ipanema Restaurant New York
72,★·.·V𝔢𝔢·.·★,@VEESOP_xoXo·2014年8月2日,2014-08-02,"Celebratory Dinner with my CoWorkers (@ Ipanema Restaurant in New York, NY) https://swarmapp.com/veesop_xoxo/checkin/53dd56b7498e22c37afdec12?s=8TmeG0KykXHz9-KNtYYFXNmpkdI&ref=tw…",,,,en,Ipanema Restaurant New York
73,Ronin,@J0N4TH4N3681·2014年7月21日,2014-07-21,"I'm at Ipanema Restaurant (New York, NY) http://4sq.com/1ruRx7t",,,,en,Ipanema Restaurant New York
74,Lin,@yhcln1·2014年6月9日,2014-06-08,"I'm at Ipanema Restaurant (New York, NY) w/ 3 others http://4sq.com/1jdKpUw",,,,en,Ipanema Restaurant New York
75,miguel h'ushi,@estilomovimento·2014年5月18日,2014-05-18,"I'm at Ipanema Restaurant (New York, NY) http://4sq.com/1jJzTUa",,,,en,Ipanema Restaurant New York
76,Clarissa Drielle,@ClarissaDrielle·2014年5月17日,2014-05-16,"I'm at Ipanema Restaurant (New York, NY) http://4sq.com/1vgVJrw",,,,en,Ipanema Restaurant New York
77,Bia,@biankaluise_·2014年5月1日,2014-05-01,Matando a saudade do Brasil em plena New York! (@ Ipanema Restaurant) http://4sq.com/1i21q2B,,,,pt,Ipanema Restaurant New York
78,Mighty G,@ChickOfHorror·2014年4月20日,2014-04-20,"I'm at Ipanema Restaurant (New York, NY) http://4sq.com/1moDmhI",,,,en,Ipanema Restaurant New York
79,Laura Peruchi,@lauraperuchi·2014年4月18日,2014-04-18,"I'm at Ipanema Restaurant (New York, NY) http://4sq.com/1kJnBQi",,,,en,Ipanema Restaurant New York
80,Mari Brandão,@maribrandao02·2014年3月30日,2014-03-30,"I'm at Ipanema Restaurant (New York, NY) http://4sq.com/1h8Sbg9",,,,en,Ipanema Restaurant New York
81,MoneyMike,@tntgal·2014年3月16日,2014-03-16,Edwin G.'s Review of Ipanema Restaurant - New York (3/5) on Yelp: I came here with a friend last night; the fo... http://bit.ly/1kyR5zf,,,,en,Ipanema Restaurant New York
82,Daniel Mescouto ,@DanielMescouto·2014年2月25日,2014-02-25,"I'm at Ipanema Restaurant (New York, NY) http://4sq.com/OvVTKR",,,,en,Ipanema Restaurant New York
83,julie niesen,@winemedineme·2014年2月20日,2014-02-20,"I'm at Ipanema Restaurant (New York, NY) http://4sq.com/1fAMdob",,,,en,Ipanema Restaurant New York
84,Julia Affonso,@juliiaffonso·2014年2月16日,2014-02-16,"I'm at Ipanema Restaurant (New York, NY) http://4sq.com/1lXeUkL",,,,en,Ipanema Restaurant New York
85,Tomáz Igor ,@ThomasSoOakley·2014年2月5日,2014-02-05,"I'm at Ipanema Restaurant (New York, NY) http://4sq.com/1bs6Ncp",,1,,en,Ipanema Restaurant New York
86,mandaX,@minervax·2014年2月1日,2014-02-01,"I'm at Ipanema Restaurant (New York, NY) http://4sq.com/1dheC1g",,,,en,Ipanema Restaurant New York
87,Vitoria,@_itsvitoria·2014年2月1日,2014-02-01,"I'm at Ipanema Restaurant (New York, NY) http://4sq.com/1jXjaC8",,,,en,Ipanema Restaurant New York
88,Andrea Piol,@Cepino·2014年1月31日,2014-01-31,"I'm at Ipanema Restaurant (New York, NY) http://4sq.com/1ebJTIP",,,,en,Ipanema Restaurant New York
89,Amit Haralalka,@amit1h·2014年1月27日,2014-01-27,"I'm at Ipanema Restaurant (New York, NY) http://4sq.com/1leQJRJ",,,,en,Ipanema Restaurant New York
